Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,binomial,Unique ID,LogMass,Combined Mass (g),Comments: endangerment,Ref for Mass,IUCN status,Total Length,tail length,Ref for Length,comment,comment,trophic,ref for trophic,habitat mode
AF,Kenya,extant,Rodentia,Muridae,Tachyoryctes,audax,Tachyoryctes audax,AF_extant_Tachyoryctes audax,2.371,235,,jake,VU,,,,specimen No.6982,,Browse,same as congeners,terr
AF,,extant,Rodentia,Hystricidae,Hystrix,africaeaustralis,Hystrix africaeaustralis,AF_extant_Hystrix africaeaustralis,4.174,14936.024,,60_ 129,,,,,,,Browse,t1,terr
AF,Ethiopia_ Somalia_ Djibouti,extant,Rodentia,Ctenodactylidae,Pectinator,spekei,Pectinator spekei,AF_extant_Pectinator spekei,2.204,160,,70,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Cephalophus,rubidus,Cephalophus rubidus,AF_extant_Cephalophus rubidus,4.176,14999.957,,60,,,,,,,Browse,t1,terr
AF,,extinct,Artiodactyla,Giraffidae,Giraffa,gracilis,Giraffa gracilis,AF_extinct_Giraffa gracilis,5.929,850000,,6,,,,,,,Browse,same as congeners,terr
AF,,extant,Artiodactyla,Bovidae,Tragelaphus,imberbis,Tragelaphus imberbis,AF_extant_Tragelaphus imberbis,4.912,81575.548,hunting_ parasites/pathogens,63_ 70,LR,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Gazella,dama,Gazella dama,AF_extant_Gazella dama,4.863,72999.519,hunting_ habitat loss,60,EN,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Taurotragus,oryx,Taurotragus oryx,AF_extant_Taurotragus oryx,5.756,569993.627,,63_ 70,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Neotragus,batesi,Neotragus batesi,AF_extant_Neotragus batesi,3.477,2999.991,hunting_ habitat loss,60,LR,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Gazella,dorcas,Gazella dorcas,AF_extant_Gazella dorcas,4.362,23000.115,hunting_ habitat loss,65,VU,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Neotragus,moschatus,Neotragus moschatus,AF_extant_Neotragus moschatus,3.813,6499.95,habitat loss,63_ 70,LR,,,,,,Browse,t1,terr
AF,,extant,Hyracoidea,Procaviidae,Dendrohyrax,validus,Dendrohyrax validus,AF_extant_Dendrohyrax validus,3.386,2430,Added in by KJ and ME,-999,VU,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Giraffidae,Okapia,johnstoni,Okapia johnstoni,AF_extant_Okapia johnstoni,5.362,230001.146,hunting_ habitat loss,63_ 70,LR,,,,,,Browse,t1,terr
AF,SE Guinea to Ghana,extant,Rodentia,Muridae,Oenomys,ornatus,Oenomys ornatus,AF_extant_Oenomys ornatus,1.932,85.5,,70,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Madoqua,guentheri,Madoqua guentheri,AF_extant_Madoqua guentheri,3.875,7499.978,,63_ 70,,,,,,,Browse,t1,terr
AF,,extant,Rodentia,Muridae,Tachyoryctes,splendens,Tachyoryctes splendens,AF_extant_Tachyoryctes splendens,2.327,212.251,,63_ 70,,,,,,,Browse,t1,terr
AF,,extant,Artiodactyla,Bovidae,Madoqua,saltiana,Madoqua saltiana,AF_extant_Madoqua saltiana,3.512,3249.975,,65,,,,,,,Browse,t1,terr
AF,Somalia,extant,Artiodactyla,Bovidae,Madoqua,piacentinii,Madoqua piacentinii,AF_extant_Madoqua piacentinii,3.398,2500,hunting_ habitat loss,70,VU,,,,,,Browse,t1,terr
